,Unnamed: 0,Y house price of unit area,X3 distance to the nearest MRT station,X2 house age
0,0,37.9,84.87881999999998,32.0
1,1,42.2,306.5947,19.5
2,2,47.3,561.9845,13.3
3,3,54.8,561.9845,13.3
4,4,43.1,390.5684,5.0
5,5,32.1,2175.03,7.1
6,6,40.3,623.4731,34.5
7,7,46.7,287.6025,20.3
8,8,18.8,5512.038000000001,31.7
9,9,22.1,1783.18,17.9
10,10,41.4,405.2134,34.8
11,11,58.1,90.45606,6.3
12,12,39.3,492.2313,13.0
13,13,23.8,2469.645,20.4
14,14,34.3,1164.838,13.2
15,15,50.5,579.2083,35.7
16,16,70.1,292.9978,0.0
17,17,37.4,350.8515,17.7
18,18,42.3,368.1363,16.9
19,19,47.7,23.382839999999998,1.5
20,20,29.3,2275.877,4.5
21,21,51.6,279.1726,10.5
22,22,24.6,1360.139,14.7
23,23,47.9,279.1726,10.1
24,24,38.8,480.6977,39.6
25,25,27.0,1487.868,29.3
26,26,56.2,383.8624,3.1
27,27,33.6,276.449,10.4
28,28,47.0,557.4780000000002,19.2
29,29,57.1,451.2438,7.1
30,30,22.1,4519.69,25.9
31,31,25.0,769.4034,29.6
32,32,34.2,488.5727,37.9
33,33,49.3,323.655,16.5
34,34,55.1,205.36700000000002,15.4
35,35,27.3,4079.4179999999997,13.9
36,36,22.9,1935.009,14.7
37,37,25.3,1360.139,12.0
38,38,47.7,577.9615,3.1
39,39,46.2,289.3248,16.2
40,40,15.9,4082.015,13.6
41,41,18.2,4066.587,16.8
42,42,34.7,519.4617,36.1
43,43,34.1,512.7871,34.4
44,44,53.9,533.4762,2.7
45,45,38.3,488.8193,36.6
46,46,42.0,463.9623,21.7
47,47,61.5,640.7391,35.9
48,48,13.4,4605.749,24.2
49,49,13.2,4510.359,29.4
50,50,44.2,512.5487,21.7
51,51,20.7,1758.406,31.3
52,52,27.0,1438.579,32.1
53,53,38.9,492.2313,13.3
54,54,51.7,289.3248,16.1
55,55,13.7,1160.632,31.7
56,56,41.9,371.2495,33.6
57,57,53.5,56.47425,3.5
58,58,22.6,4510.359,30.3
59,59,42.4,336.0532,13.3
60,60,21.3,1931.207,11.0
61,61,63.2,259.6607,5.3
62,62,27.7,2175.877,17.2
63,63,55.0,533.4762,2.6
64,64,25.3,995.7554,17.5
65,65,44.3,123.7429,40.1
66,66,50.7,193.5845,1.0
67,67,56.8,104.8101,8.5
68,68,36.2,464.223,30.4
69,69,42.0,561.9845,12.5
70,70,59.0,90.45606,6.6
71,71,40.8,640.7391,35.5
72,72,36.3,424.5442,32.5
73,73,20.0,4082.015,13.8
74,74,54.4,379.5575,6.8
75,75,29.5,1360.139,12.3
76,76,36.8,616.4004,35.9
77,77,25.6,2185.1279999999997,20.5
78,78,29.8,552.4371,38.2
79,79,26.5,1414.8370000000002,18.0
80,80,40.3,533.4762,11.8
81,81,36.8,377.7956,30.8
82,82,48.1,150.9347,13.2
83,83,17.7,2707.3920000000007,25.3
84,84,43.7,383.2805,15.1
85,85,50.8,338.9679,0.0
86,86,27.0,1455.7979999999998,1.8
87,87,18.3,4066.587,16.9
88,88,48.0,1406.43,8.9
89,89,25.3,3947.945,23.0
90,90,45.4,274.0144,0.0
91,91,43.2,1402.016,9.1
92,92,21.8,2469.645,20.6
93,93,16.1,1146.329,31.9
94,94,41.0,167.5989,40.9
95,95,51.8,104.8101,8.0
96,96,59.5,90.45606,6.4
97,97,34.6,617.4424,28.4
98,98,51.0,289.3248,16.4
99,99,62.2,90.45606,6.4
100,100,38.2,964.7496,17.5
101,101,32.9,170.1289,12.7
102,102,54.4,193.5845,1.1
103,103,45.7,208.3905,0.0
104,104,30.5,392.4459,32.7
105,105,71.0,292.9978,0.0
106,106,47.1,189.5181,17.2
107,107,26.6,1360.139,12.2
108,108,34.1,592.5006,31.4
109,109,28.4,2147.376,4.0
110,110,51.6,104.8101,8.1
111,111,39.4,196.6172,33.3
112,112,23.1,2102.427,9.9
113,113,7.6,393.2606,14.8
114,114,53.3,143.8383,30.6
115,115,46.4,737.9161,20.6
116,116,12.2,6396.283,30.9
117,117,13.0,4197.349,13.6
118,118,30.6,1583.7220000000002,25.3
119,119,59.6,289.3248,16.6
120,120,31.3,492.2313,13.3
121,121,48.0,492.2313,13.6
122,122,32.5,414.9476,31.5
123,123,45.5,185.4296,0.0
124,124,57.4,279.1726,9.9
125,125,48.6,193.5845,1.1
126,126,62.9,804.6897,38.6
127,127,55.0,383.8624,3.8
128,128,60.7,124.9912,41.3
129,129,41.0,216.8329,38.5
130,130,37.5,535.5269999999998,29.6
131,131,30.7,2147.376,4.0
132,132,37.5,482.7581,26.6
133,133,39.5,373.3937,18.0
134,134,42.2,186.9686,33.4
135,135,20.8,1009.235,18.9
136,136,46.8,390.5684,11.4
137,137,47.4,319.0708,13.6
138,138,43.5,942.4664,10.0
139,139,42.5,492.2313,12.9
140,140,51.4,289.3248,16.2
141,141,28.9,1559.8270000000002,5.1
142,142,37.5,640.6071,19.8
143,143,40.1,492.2313,13.6
144,144,28.4,1360.139,11.9
145,145,45.5,451.2438,2.1
146,146,52.2,185.4296,0.0
147,147,43.2,489.8821,3.2
148,148,45.1,3780.59,16.4
149,149,39.7,179.4538,34.9
150,150,48.5,170.7311,35.8
151,151,44.7,387.7721,4.9
152,152,28.9,1360.139,12.0
153,153,40.9,376.1709,6.5
154,154,20.7,4066.587,16.9
155,155,15.6,4082.015,13.8
156,156,18.3,1264.73,30.7
157,157,35.6,815.9314,16.1
158,158,39.4,390.5684,11.6
159,159,37.4,815.9314,15.5
160,160,57.8,49.66105,3.5
161,161,39.6,616.4004,19.2
162,162,11.6,4066.587,16.0
163,163,55.5,104.8101,8.5
164,164,55.2,185.4296,0.0
165,165,30.6,1236.5639999999999,13.7
166,166,73.6,292.9978,0.0
167,167,43.4,330.0854,28.2
168,168,37.4,515.1122,27.6
169,169,23.5,1962.628,8.4
170,170,14.4,4527.687,24.0
171,171,58.8,383.8624,3.6
172,172,58.1,90.45606,6.6
173,173,35.1,401.8807,41.3
174,174,45.2,432.0385,4.3
175,175,36.5,472.1745,30.2
176,176,19.2,4573.779,13.9
177,177,42.0,181.0766,33.0
178,178,36.7,1144.4360000000001,13.1
179,179,42.6,438.8513,14.0
180,180,15.5,4449.27,26.9
181,181,55.9,201.8939,11.6
182,182,23.6,2147.376,13.5
183,183,18.8,4082.015,17.0
184,184,21.8,2615.465,14.1
185,185,21.5,1447.286,31.4
186,186,25.7,2185.1279999999997,20.9
187,187,22.0,3078.176,8.9
188,188,44.3,190.0392,34.8
189,189,20.5,4066.587,16.3
190,190,42.3,616.5735,35.3
191,191,37.8,750.0704,13.2
192,192,42.7,57.58945,43.8
193,193,49.3,421.47900000000004,9.7
194,194,29.3,3771.895,15.2
195,195,34.6,461.1016,15.2
196,196,36.6,707.9067,22.8
197,197,48.2,126.7286,34.4
198,198,39.1,157.6052,34.0
199,199,31.6,451.6419,18.2
200,200,25.5,995.7554,17.4
201,201,45.9,561.9845,13.1
202,202,31.5,642.6985,38.3
203,203,46.1,289.3248,15.6
204,204,26.6,1414.8370000000002,18.0
205,205,21.4,1449.7220000000002,12.8
206,206,44.0,379.5575,22.2
207,207,34.2,665.0636,38.5
208,208,26.2,1360.139,11.5
209,209,40.9,175.6294,34.8
210,210,52.2,390.5684,5.2
211,211,43.5,274.0144,0.0
212,212,31.1,1805.665,17.6
213,213,58.0,90.45606,6.2
214,214,20.9,1783.18,18.1
215,215,48.1,383.7129,19.2
216,216,39.7,590.9292,37.8
217,217,40.8,372.6242,28.0
218,218,43.8,492.2313,13.6
219,219,40.2,529.7771,29.3
220,220,78.3,186.5101,37.2
221,221,38.5,1402.016,9.0
222,222,48.5,431.1114,30.6
223,223,42.3,1402.016,9.1
224,224,46.0,324.9419,34.5
225,225,49.0,193.5845,1.1
226,226,12.8,4082.015,16.5
227,227,40.2,265.0609,32.4
228,228,46.6,3171.329,11.9
229,229,19.0,1156.412,31.0
230,230,33.4,2147.376,4.0
231,231,14.7,4074.736,16.2
232,232,17.4,4412.765,27.1
233,233,32.4,333.3679,39.7
234,234,23.9,2216.612,8.0
235,235,39.3,250.63099999999997,12.9
236,236,61.9,373.8389,3.6
237,237,39.0,732.8528,13.0
238,238,40.6,732.8528,12.8
239,239,29.7,837.7233,18.1
240,240,28.8,1712.632,11.0
241,241,41.4,250.63099999999997,13.7
242,242,33.4,2077.39,2.0
243,243,48.2,204.1705,32.8
244,244,21.7,1559.8270000000002,4.8
245,245,40.8,639.6198,7.5
246,246,40.6,389.8219,16.4
247,247,23.1,1055.067,21.7
248,248,22.3,1009.235,19.0
249,249,15.0,6306.153,18.0
250,250,30.0,424.7132,39.2
251,251,13.8,1159.454,31.7
252,252,52.7,90.45606,5.9
253,253,25.9,1735.595,30.4
254,254,51.8,329.9747,1.1
255,255,17.4,5512.038000000001,31.5
256,256,26.5,339.2289,14.6
257,257,43.9,444.1334,17.3
258,258,63.3,292.9978,0.0
259,259,28.8,837.7233,17.7
260,260,30.7,1485.0970000000002,17.0
261,261,24.4,2288.011,16.2
262,262,53.0,289.3248,15.9
263,263,31.7,2147.376,3.9
264,264,40.6,493.657,32.6
265,265,38.1,815.9314,15.7
266,266,23.7,1783.18,17.8
267,267,41.1,482.7581,34.7
268,268,40.1,390.5684,17.2
269,269,23.0,837.7233,17.6
270,270,117.5,252.5822,10.8
271,271,26.5,451.6419,17.7
272,272,40.5,492.2313,13.0
273,273,29.3,170.1289,13.2
274,274,41.0,394.0173,27.5
275,275,49.7,23.382839999999998,1.5
276,276,34.0,461.1016,19.1
277,277,27.7,2185.1279999999997,21.2
278,278,44.0,208.3905,0.0
279,279,31.1,1554.25,2.6
280,280,45.4,184.3302,2.3
281,281,44.8,387.7721,4.7
282,282,25.6,1455.7979999999998,2.0
283,283,23.5,1978.671,33.5
284,284,34.4,383.2805,15.0
285,285,55.3,718.2937,30.1
286,286,56.3,90.45606,5.9
287,287,32.9,461.1016,19.2
288,288,51.0,323.6912,16.6
289,289,44.5,289.3248,13.9
290,290,37.0,490.3446,37.7
291,291,54.4,56.47425,3.4
292,292,24.5,395.6747,17.5
293,293,42.5,383.2805,12.6
294,294,38.1,335.5273,26.4
295,295,21.8,2179.59,18.2
296,296,34.1,1144.4360000000001,12.5
297,297,28.5,567.0349,34.9
298,298,16.7,4082.015,16.7
299,299,46.1,121.7262,33.2
300,300,36.9,156.2442,2.5
301,301,35.7,461.7848,38.0
302,302,23.2,2288.011,16.5
303,303,38.4,439.7105,38.3
304,304,29.4,1626.0829999999999,20.0
305,305,55.0,289.3248,16.2
306,306,50.2,169.9803,14.4
307,307,24.7,3079.89,10.3
308,308,53.0,289.3248,16.4
309,309,19.1,1264.73,30.3
310,310,24.7,1643.499,16.4
311,311,42.2,537.7971,21.3
312,312,78.0,318.5292,35.4
313,313,42.8,104.8101,8.3
314,314,41.6,577.9615,3.7
315,315,27.3,1756.411,15.6
316,316,42.0,250.63099999999997,13.3
317,317,37.5,752.7669,15.6
318,318,49.8,379.5575,7.1
319,319,26.9,272.6783,34.6
320,320,18.6,4197.349,13.5
321,321,37.7,964.7496,16.9
322,322,33.1,187.4823,12.9
323,323,42.5,197.1338,28.6
324,324,31.3,1712.632,12.4
325,325,38.1,488.8193,36.6
326,326,62.1,56.47425,4.1
327,327,36.7,757.3377,3.5
328,328,23.6,1497.713,15.9
329,329,19.2,4197.349,13.6
330,330,12.8,1156.777,32.0
331,331,15.6,4519.69,25.6
332,332,39.6,617.7134,39.8
333,333,38.4,104.8101,7.8
334,334,22.8,1013.341,30.0
335,335,36.5,337.6016,27.3
336,336,35.6,1867.233,5.1
337,337,30.9,600.8604,31.3
338,338,36.3,258.186,31.5
339,339,50.4,329.9747,1.7
340,340,42.9,270.8895,33.6
341,341,37.0,750.0704,13.0
342,342,53.5,90.45606,5.7
343,343,46.6,563.2854,33.5
344,344,41.2,3085.17,34.6
345,345,37.9,185.4296,0.0
346,346,30.8,1712.632,13.2
347,347,11.2,6488.021,17.4
348,348,53.7,259.6607,4.6
349,349,47.0,104.8101,7.8
350,350,42.3,492.2313,13.2
351,351,28.6,2180.245,4.0
352,352,25.7,2674.961,18.4
353,353,31.3,2147.376,4.1
354,354,30.1,1360.139,12.2
355,355,60.7,383.8624,3.8
356,356,45.3,211.4473,10.3
357,357,44.9,338.9679,0.0
358,358,45.1,193.5845,1.1
359,359,24.7,2408.993,5.6
360,360,47.1,87.30221999999998,32.9
361,361,63.3,281.205,41.4
362,362,40.0,967.4,17.1
363,363,48.0,109.9455,32.3
364,364,33.1,614.1394,35.3
365,365,29.5,2261.4320000000002,17.3
366,366,24.8,1801.5439999999999,14.2
367,367,20.9,1828.319,15.0
368,368,43.1,350.8515,18.2
369,369,22.8,2185.1279999999997,20.2
370,370,42.1,289.3248,15.9
371,371,51.7,312.8963,4.1
372,372,41.5,157.6052,33.9
373,373,52.2,274.0144,0.0
374,374,49.5,390.5684,5.4
375,375,23.8,1157.988,21.7
376,376,30.5,1717.193,14.7
377,377,56.8,49.66105,3.9
378,378,37.4,587.8877,37.3
379,379,69.7,292.9978,0.0
380,380,53.3,289.3248,14.1
381,381,47.3,132.5469,8.0
382,382,29.3,3529.564000000001,16.3
383,383,40.3,506.1144,29.1
384,384,12.9,4066.587,16.1
385,385,46.6,82.88643,18.3
386,386,55.3,185.4296,0.0
387,387,25.6,2103.555,16.2
388,388,27.3,2251.938,10.4
389,389,67.7,122.3619,40.9
390,390,38.6,377.8302,32.8
391,391,31.3,1939.749,6.2
392,392,35.3,443.80199999999996,42.7
393,393,40.3,967.4,16.9
394,394,24.7,4136.271,32.6
395,395,42.5,512.5487,21.2
396,396,31.9,918.6357,37.1
397,397,32.2,1164.838,13.1
398,398,23.0,1717.193,14.7
399,399,37.3,170.1289,12.7
400,400,35.5,482.7581,26.8
401,401,27.7,2175.03,7.6
402,402,28.5,187.4823,12.7
403,403,39.7,161.942,30.9
404,404,41.2,289.3248,16.4
405,405,37.2,130.9945,23.0
406,406,40.5,372.1386,1.9
407,407,22.3,2408.993,5.2
408,408,28.1,2175.744,18.5
409,409,15.4,4082.015,13.7
410,410,50.0,90.45606,5.6
411,411,40.6,390.9696,18.8
412,412,52.5,104.8101,8.1
413,413,63.9,90.45606,6.5
